"","x","y","clusters","names"
"35",36.8144615411887,12.7359749909413,"7","Application"
"36",21.4739866287297,-35.2999068851446,"5","Animal"
"37",53.5014949617334,-1.65472482756027,"7","Acceleration"
"38",30.1444047954537,-26.2586080160274,"10","Black pudding"
"39",38.2124928337944,13.7739536628937,"7","Boot device"
"40",22.7732248375817,-18.5520086748089,"10","Boot"
"41",6.40400133971419,1.64290555969241,"4","Bankruptcy"
"42",30.3014489220625,-26.5368152092597,"10","Breakfast sausage"
"43",41.5308158074369,16.2277334777398,"7","Browser"
"44",24.4596912245853,-33.2416326856002,"5","Beekeeping"
"45",24.2006255064752,15.8714613007787,"10","British English"
"46",14.9430570811667,9.9702823312615,"1","Being"
"47",-20.3198151692302,-12.0473840156766,"4","Beijing"
"48",36.1076383306289,-26.148786144635,"10","Bottle"
"49",31.8941951824448,-36.3461259980451,"5","Berry"
"50",33.5022124590528,-20.1916136739444,"10","Boil"
"51",19.0798796959728,-21.5384577457449,"10","Beard"
"52",17.9624543955295,-24.0572625902305,"10","Black"
"53",31.2205080130856,3.7448338192788,"9","Bubonic plague"
"54",18.0208603445719,0.702656934934527,"10","Biology"
"55",17.9064869754287,-1.27070842239137,"6","Botany"
"56",-55.7456910910786,-28.6239703657105,"4","Belgium"
"57",-30.5525879119595,-17.0030223986803,"4","Brazil"
"58",18.649211222703,3.52845934292312,"7","Chemistry"
"59",49.8285068336989,-14.9888612715315,"10","Compound"
"60",34.7332942850306,13.7525631146863,"7","Computer science"
"61",39.7116204270007,14.4436260626637,"7","Computer"
"62",-15.2679423713587,-8.43084697492509,"4","Chinese"
"63",-20.257661393978,-18.7014620247544,"2","Continent"
"64",50.3528955555669,-14.548405450462,"10","Classical element"
"65",-20.4188563540009,-11.5694857735114,"4","China"
"66",-30.6985204863851,-0.570262615207267,"4","Country"
"67",-10.269091963188,-42.4807510581132,"2","Colchester"
"68",15.8218175748417,-0.710651932586862,"7","Cartography"
"69",-9.03264689050226,15.6436661214826,"1","Creator"
"70",11.8281718333269,2.50175976275835,"7","Contact network"
"71",30.1238862372508,-26.2541797328982,"10","Chorizo"
"72",14.062205332403,9.68457054298779,"1","Creativity"
"73",-14.8607239222329,9.82524952276479,"1","Catharism"
"74",0.908909424450425,18.5440887983719,"7","Cosmology"
"75",-27.4516240580429,1.85781412529638,"1","Church"
"76",-11.1879902634445,-26.3150646162544,"2","City"
"77",32.7723297131465,-27.2972902668383,"10","Cooking"
"78",34.6383261930133,16.6763718079886,"7","Chat"
"79",27.182961827358,-20.4877330105153,"10","Cup"
"80",2.93579684666374,9.91674298792729,"4","Crime"
"81",16.5732026754286,10.320892502668,"7","Time Cube"
"82",47.6957451021275,11.023815566278,"7","Census of Marine Life"
"83",33.8801218755753,-32.6350719803478,"10","Maize"
"84",4.48274673487067,4.33499341924302,"1","Civics"
"85",51.801006391858,8.80221071091173,"7","Calculus"
"86",-11.8501682606728,-9.95839670652796,"7","Coin"
"87",5.88221165575534,7.35086475955053,"1","Conceptual metaphor"
"88",7.25176306703953,-48.0362566097506,"10","Crust"
"89",14.1210593719572,46.4345827091917,"8","Comedy"
"90",72.1362152631874,-0.179243599887685,"7","Comet"
"91",38.8462629866637,-11.5704191508698,"10","Cytology"
"92",-16.8444934377032,11.9827038680453,"1","Christian"
"93",35.655895703579,-30.421873368314,"10","Cheese"
"94",-3.23843542459725,2.22636428146705,"4","Constitution"
"95",50.373556904731,3.44720017253676,"7","Circle"
"96",24.3124436792269,17.7805543700681,"7","Capitalization"
"97",-29.6934257601669,-23.2708653921616,"2","Cuba"
"98",62.1239273929424,-10.6499798648588,"7","Cube"
"99",9.10516688601284,0.79686870352009,"7","Cost of living"
"100",-13.5239124567534,-1.59075295951052,"4","December"
"101",-17.7233507114566,-46.9065681941178,"2","Dublin"
"102",34.9827399626258,49.7363322207698,"6","Dance"
"103",-46.6262984133811,12.6372969976751,"1","Dissolution of the monasteries"
"104",9.96649524154607,5.20989195731918,"7","Deadline"
"105",20.1204386543897,16.6101074375818,"7","Dutton's Speedwords"
"106",-9.42934274392965,16.412356185424,"1","Devil"
"107",30.7562639844288,-1.64953292882141,"10","Diarrhea"
"108",51.0083215880965,6.30712512542952,"7","Dimension"
"109",52.6582952166959,0.502264758528031,"7","Distance"
"110",46.6661089129803,-27.4943281695489,"7","Depth"
"111",19.083491305018,17.4857350653863,"1","Dictionary"
